Month,nfl: (United States)
2007-02,9
2007-03,8
2007-04,12
2007-05,5
2007-06,4
2007-07,5
2007-08,10
2007-09,22
2007-10,17
2007-11,19
2007-12,22
2008-01,18
2008-02,10
2008-03,7
2008-04,10
2008-05,4
2008-06,3
2008-07,4
2008-08,10
2008-09,20
2008-10,15
2008-11,19
2008-12,21
2009-01,16
2009-02,9
2009-03,8
2009-04,12
2009-05,4
2009-06,3
2009-07,4
2009-08,11
2009-09,20
2009-10,19
2009-11,19
2009-12,21
2010-01,21
2010-02,8
2010-03,7
2010-04,14
2010-05,4
2010-06,3
2010-07,5
2010-08,11
2010-09,24
2010-10,22
2010-11,24
2010-12,24
2011-01,28
2011-02,11
2011-03,7
2011-04,13
2011-05,6
2011-06,4
2011-07,9
2011-08,17
2011-09,30
2011-10,28
2011-11,29
2011-12,30
2012-01,34
2012-02,11
2012-03,11
2012-04,19
2012-05,6
2012-06,5
2012-07,6
2012-08,16
2012-09,38
2012-10,31
2012-11,30
2012-12,35
2013-01,30
2013-02,12
2013-03,10
2013-04,18
2013-05,6
2013-06,5
2013-07,6
2013-08,18
2013-09,40
2013-10,33
2013-11,33
2013-12,38
2014-01,35
2014-02,11
2014-03,9
2014-04,9
2014-05,18
2014-06,4
2014-07,6
2014-08,18
2014-09,40
2014-10,35
2014-11,38
2014-12,40
2015-01,38
2015-02,12
2015-03,11
2015-04,11
2015-05,13
2015-06,5
2015-07,6
2015-08,18
2015-09,45
2015-10,41
2015-11,47
2015-12,42
2016-01,54
2016-02,13
2016-03,10
2016-04,20
2016-05,7
2016-06,5
2016-07,6
2016-08,17
2016-09,47
2016-10,47
2016-11,44
2016-12,51
2017-01,51
2017-02,12
2017-03,11
2017-04,19
2017-05,6
2017-06,5
2017-07,6
2017-08,19
2017-09,50
2017-10,52
2017-11,43
2017-12,50
2018-01,50
2018-02,13
2018-03,13
2018-04,21
2018-05,6
2018-06,5
2018-07,6
2018-08,22
2018-09,57
2018-10,50
2018-11,51
2018-12,61
2019-01,57
2019-02,13
2019-03,12
2019-04,21
2019-05,5
2019-06,5
2019-07,6
2019-08,23
2019-09,61
2019-10,58
2019-11,56
2019-12,67
2020-01,58
2020-02,13
2020-03,11
2020-04,21
2020-05,7
2020-06,5
2020-07,7
2020-08,7
2020-09,46
2020-10,51
2020-11,48
2020-12,57
2021-01,63
2021-02,14
2021-03,10
2021-04,18
2021-05,10
2021-06,5
2021-07,6
2021-08,20
2021-09,52
2021-10,58
2021-11,57
2021-12,62
2022-01,100
